phi0,phi1,phi2,phi3,phi4,phi5,phi6,phi7,phi8,phi9,phi10,P_IFM,P_bomb,eta,N,nsamples
4.804318599,3.738798581,5.262487222,3.639542054,4.378812367,3.827282586,2.5889544,5.560342547,5.194578499,4.825715059,5.423187372,0.002215,0.625265,0.003529993,20,200000
3.921143554,3.478961773,1.456676757,3.073265397,3.572917681,1.12891762,4.217279971,0.362117989,5.035111579,5.05286115,0.696454262,0.001505,0.6304,0.002381687,20,200000
1.247077095,3.106043252,0.686669905,5.834738183,3.903500103,4.276877175,0.412016751,3.357065147,4.071146786,2.607657277,3.494967568,0.00132,0.63253,0.002082512,20,200000
0.277892374,1.676731299,0.722002315,5.711600741,5.346539284,0.067404666,1.627289115,4.401377623,6.023015316,2.378413819,4.76961749,0.001095,0.62376,0.001752407,20,200000
4.115312768,5.446931529,0.220196152,0.668001311,1.374241849,2.080455432,2.540891496,5.771764204,0.435785087,2.179684875,1.808304424,0.00223,0.635755,0.00349538,20,200000
2.256784043,2.354094577,0.312940879,4.335979099,1.082705384,5.016049308,4.981139606,1.824654192,0.512462642,3.494409271,2.551070116,0.003335,0.644035,0.005151613,20,200000
2.002120111,4.837824588,2.138174353,5.434370352,4.713136999,2.249956975,4.443592813,1.482834098,2.809008614,6.024952628,0.066445624,0.001785,0.63097,0.002820997,20,200000
5.25812733,0.901980451,0.883062227,0.356885399,2.753454527,1.228346667,1.640825997,4.943303047,1.84629226,2.564175718,5.598347819,0.00203,0.62393,0.003243019,20,200000
1.445568695,3.780305653,3.876328266,0.170863551,4.385096058,3.569117488,2.957154803,4.108586169,5.901735277,0.657975317,1.371202022,0.002385,0.625725,0.003797106,20,200000
3.317457727,0.565379612,2.087777825,1.262204804,0.150959342,1.925101638,3.875452025,1.947237628,6.062521207,6.106821644,5.2394605,0.002695,0.627195,0.004278525,20,200000
0.648244386,5.3205841,5.021614551,3.816273601,1.158788323,4.767885356,5.832787086,4.915675221,1.941213943,2.950060266,1.024614907,0.00132,0.60551,0.002175239,20,200000
3.398910721,6.223387963,5.650180265,5.438977531,3.473652028,2.119754962,5.554939822,5.251078315,4.371947407,3.002849021,5.318646558,0.001395,0.611015,0.002277886,20,200000
4.924794913,1.874156429,1.451926065,5.973713838,5.485788531,6.012541009,0.134119049,0.520888961,0.186839522,1.782025836,1.544437365,0.000495,0.6278,0.000787846,20,200000
4.773821362,1.199769761,5.239471066,3.080426479,5.954102843,5.247626814,5.710397082,0.675549806,2.786749924,3.019149983,1.482074683,0.002255,0.617885,0.003636276,20,200000
4.795059821,0.674565575,5.826036098,2.973727109,4.361110512,5.832288951,5.753731583,1.568975089,4.034288474,4.264384778,0.751043537,0.00099,0.63035,0.001568093,20,200000
