phi0,phi1,phi2,phi3,phi4,phi5,phi6,phi7,phi8,P_IFM,P_bomb,eta,N,nsamples
3.823784407,0.686192525,2.101939633,0.462127521,2.298255888,4.74339677,6.175883316,4.374767517,4.95151137,0.00464,0.662845,0.006951467,20,200000
3.238479359,5.658387515,3.893808172,6.248983012,2.147137222,5.938351658,2.163310679,4.911040146,2.281148087,0.00433,0.652225,0.00659503,20,200000
4.252751138,2.635733095,5.300974228,3.979547098,1.788585534,3.771649729,2.517184214,2.765672135,4.60979096,0.005615,0.65446,0.008506609,20,200000
0.986705321,4.231303164,2.118739071,4.247943429,2.65249421,4.118257335,1.531958744,6.281349681,5.382515658,0.00551,0.65795,0.008304947,20,200000
5.616309625,5.095073489,3.872822886,5.147012892,6.021308715,1.76232557,6.036026176,5.483593453,5.217162865,0.00367,0.65824,0.00554456,20,200000
4.779779727,2.936580348,0.757023501,1.392734532,1.844435581,0.910806582,1.854949047,4.457426154,5.895775599,0.006875,0.65584,0.010373992,20,200000
0.93621284,6.154125696,5.027940716,0.919959006,6.281577496,5.622377307,2.711199763,5.877526351,4.369092925,0.001995,0.65852,0.00302037,20,200000
2.541588211,4.610478892,2.302075727,2.660460421,1.40435901,5.107983802,4.416885446,4.706207913,3.796579555,0.005155,0.651925,0.007845316,20,200000
1.105741065,1.199669649,0.094668293,4.736698501,5.558114039,1.886566391,4.66551256,3.920074959,6.16753452,0.00413,0.658955,0.006228462,20,200000
4.331339939,1.740907147,2.670609995,4.912225081,1.139141953,1.161161954,3.47496168,6.116452455,5.56047686,0.002245,0.665755,0.003360778,20,200000
0.522570415,5.27998948,5.699887401,4.329610135,5.547378044,0.750228451,5.135403279,3.688565998,1.18145775,0.00345,0.663175,0.005175323,20,200000
4.686420258,3.182022289,3.854857144,0.132201865,2.271722817,4.680467977,5.201258301,0.098256808,5.886013812,0.002145,0.649135,0.003293514,20,200000
1.982406976,4.790257633,0.2935289,2.973343283,3.668518098,3.332741678,3.076675596,0.030770344,2.794568559,0.00522,0.66789,0.007755047,20,200000
2.776697154,0.673246378,3.280884491,4.521835252,0.886267856,3.353873555,0.001072481,3.205579427,3.278685943,0.004295,0.66296,0.00643682,20,200000
2.961169809,5.395338306,3.051770141,5.437399259,2.471449732,1.579260851,2.794320621,1.700606871,0.708546799,0.007415,0.643525,0.011391219,20,200000
