phi0,phi1,phi2,phi0prime,P_IFM,P_bomb,eta,N,nsamples
4.114539446,4.700378463,2.333787419,0.402800241,0.2065,0.5395,0.276809651,40,2000
4.225745872,1.267868428,0.473360352,1.856905981,0.239,0.5275,0.311806915,40,2000
0.782023138,3.367107469,1.285374978,4.109072853,0.2715,0.497,0.353285621,40,2000
5.434048207,5.425590485,3.640873855,3.910678055,0.245,0.509,0.324933687,40,2000
3.842565534,5.808621082,0.022352028,6.212159056,0.2395,0.5165,0.316798942,40,2000
2.784519308,5.344225108,3.150535149,2.515348883,0.2595,0.4845,0.348790323,40,2000
1.267641285,6.107592948,5.763245095,3.288382961,0.205,0.5215,0.282174811,40,2000
1.94977531,5.761633451,4.482695641,2.873037309,0.2405,0.509,0.320880587,40,2000
2.889674825,1.655653033,4.305827205,0.020610026,0.243,0.525,0.31640625,40,2000
4.335816273,6.095454746,3.271420325,2.929473844,0.2795,0.4915,0.362516213,40,2000
4.201245307,1.291874316,3.070206252,4.492375235,0.2585,0.491,0.344896598,40,2000
6.265452094,1.95930878,1.923883206,3.168784722,0.261,0.5065,0.340065147,40,2000
1.762792044,1.963128449,3.060272975,3.076918608,0.265,0.4825,0.35451505,40,2000
4.900369301,0.488947951,5.325338715,2.662069536,0.03,0.0825,0.266666667,40,2000
4.885647438,4.747814645,5.74178755,1.236868859,0.281,0.4955,0.361880232,40,2000
6.005689189,4.023459073,3.064263341,0.393813687,0.287,0.4835,0.372485399,40,2000
1.020967076,0.950277598,0.523588608,2.195808239,0.2295,0.514,0.308675185,40,2000
3.644195403,0.815035114,1.845496117,2.64594542,0.267,0.503,0.346753247,40,2000
0.462192682,3.933692229,0.593110882,2.044988985,0.2425,0.504,0.324849297,40,2000
3.628367293,4.630014669,3.445858369,6.126874411,0.2525,0.5085,0.331800263,40,2000
0.519763608,0.611288382,3.478327199,2.440440722,0.277,0.5015,0.35581246,40,2000
0.301993965,4.022244595,4.53077758,6.210711035,0.257,0.4865,0.345662408,40,2000
3.394845945,3.566451815,1.431872255,4.204370244,0.289,0.495,0.368622449,40,2000
3.154309488,4.079218876,1.488252279,3.280452122,0.242,0.5135,0.32031767,40,2000
4.929583066,3.556849499,1.263099907,2.91516421,0.24,0.539,0.308087291,40,2000
5.235908285,2.487203783,0.960048441,4.736934055,0.2665,0.498,0.348593852,40,2000
1.261996574,0.52006566,4.540036392,3.253310681,0.275,0.5425,0.336391437,40,2000
2.814591662,5.507610456,5.486997318,4.275516082,0.0285,0.0325,0.467213115,40,2000
1.724420069,2.427590319,1.213574631,2.045138514,0.2615,0.5095,0.339169909,40,2000
4.597914555,2.130161605,0.209579911,1.457501619,0.253,0.503,0.334656085,40,2000
0.796786291,3.149214257,4.29621957,2.649894478,0.2735,0.4685,0.368598383,40,2000
3.842770422,2.600560218,5.706948001,3.467720554,0.2435,0.534,0.31318328,40,2000
0.624263423,4.36265611,0.160975105,2.078877214,0.261,0.5115,0.337864078,40,2000
6.114452366,4.9715224,4.392997401,1.151010181,0.277,0.4465,0.382861092,40,2000
1.242058656,3.976556722,1.948958504,4.922102794,0.238,0.509,0.318607764,40,2000
4.309909238,5.513499203,4.652848255,3.731474275,0.246,0.535,0.314980794,40,2000
2.9705424,1.871113198,0.690125125,4.425087889,0.2695,0.516,0.343093571,40,2000
1.189351597,2.899429019,0.620398697,4.672160729,0.265,0.494,0.34914361,40,2000
0.105420246,3.279656395,1.029724197,2.253304181,0.2455,0.4965,0.330862534,40,2000
2.648523484,1.51785851,1.190441429,6.180627262,0.2405,0.468,0.339449541,40,2000
